Season,Competition,Matchday,Venue,Club,Opponent,Playing_Position,Minute,Minute,Type,Goal_assist
16/17,UEFA Champions League,Group Stage,A,FC Barcelona,Celtic FC,RW ,24,24,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,A,FC Barcelona,Celtic FC,RW ,55,55,Penalty,
16/17,LaLiga,13,A,FC Barcelona,Real Sociedad,RW ,59,59,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Borussia MÃ¶nchengladbach,RW,16,16,Left-footed shot,Arda Turan
16/17,LaLiga,15,A,FC Barcelona,CA Osasuna,RW,72,72,Left-footed shot,Jordi Alba
16/17,LaLiga,15,A,FC Barcelona,CA Osasuna,RW,90+2,90+2,Left-footed shot,Sergio Busquets
16/17,LaLiga,16,H,FC Barcelona,RCD Espanyol Barcelona,RW,90,90,Left-footed shot,Luis Suarez
16/17,Copa del Rey,last 16,A,FC Barcelona,Athletic Bilbao,RW,52,52,Direct free kick,
16/17,LaLiga,17,A,FC Barcelona,Villarreal CF,RW,90,90,Direct free kick,
16/17,Copa del Rey,last 16,H,FC Barcelona,Athletic Bilbao,RW,78,78,Direct free kick,
16/17,LaLiga,18,H,FC Barcelona,UD Las Palmas,RW ,52,52,Right-footed shot,
16/17,LaLiga,19,A,FC Barcelona,SD Eibar,RW ,50,50,Left-footed shot,Luis Suarez
16/17,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Sociedad,RW ,55,55,Penalty,
16/17,Copa del Rey,Semi-Finals,A,FC Barcelona,Atletico de Madrid,RW ,33,33,Left-footed shot,Ivan Rakitic
16/17,LaLiga,21,H,FC Barcelona,Athletic Bilbao,RW ,40,40,Direct free kick,
16/17,LaLiga,22,A,FC Barcelona,Deportivo Alaves,RW ,59,59,Left-footed shot,Neymar
16/17,LaLiga,23,H,FC Barcelona,CD Leganes,RW,4,4,Right-footed shot,Luis Suarez
16/17,LaLiga,23,H,FC Barcelona,CD Leganes,RW,90,90,Penalty,
16/17,LaLiga,24,A,FC Barcelona,Atletico de Madrid,RW,86,86,Left-footed shot,
16/17,LaLiga,25,H,FC Barcelona,Sporting GijÃ³n,RW ,9,9,Header,Javier Mascherano
16/17,LaLiga,26,H,FC Barcelona,Celta de Vigo,AM ,24,24,Left-footed shot,Sergio Busquets
16/17,LaLiga,26,H,FC Barcelona,Celta de Vigo,AM ,64,64,Left-footed shot,
16/17,UEFA Champions League,last 16,H,FC Barcelona,Paris Saint-Germain,AM,50,50,Penalty,
16/17,LaLiga,28,H,FC Barcelona,Valencia CF,AM,45,45,Penalty,
16/17,LaLiga,28,H,FC Barcelona,Valencia CF,AM,53,53,Right-footed shot,Javier Mascherano
16/17,LaLiga,30,H,FC Barcelona,Sevilla FC,RW,28,28,Right-footed shot,Luis Suarez
16/17,LaLiga,30,H,FC Barcelona,Sevilla FC,RW,33,33,Left-footed shot,
16/17,LaLiga,32,H,FC Barcelona,Real Sociedad,RW ,17,17,Left-footed shot,Luis Suarez
16/17,LaLiga,32,H,FC Barcelona,Real Sociedad,RW ,37,37,Tap-in,
16/17,LaLiga,33,A,FC Barcelona,Real Madrid,RW,33,33,Left-footed shot,Ivan Rakitic
16/17,LaLiga,33,A,FC Barcelona,Real Madrid,RW,90+2,90+2,Left-footed shot,Jordi Alba
16/17,LaLiga,34,H,FC Barcelona,CA Osasuna,AM ,12,12,Left-footed shot,
16/17,LaLiga,34,H,FC Barcelona,CA Osasuna,AM ,61,61,Left-footed shot,Ivan Rakitic
16/17,LaLiga,36,H,FC Barcelona,Villarreal CF,RW,45,45,Left-footed shot,Sergio Busquets
16/17,LaLiga,36,H,FC Barcelona,Villarreal CF,RW,82,82,Penalty,
16/17,LaLiga,38,H,FC Barcelona,SD Eibar,RW,75,75,Penalty,
16/17,LaLiga,38,H,FC Barcelona,SD Eibar,RW,90+2,90+2,Right-footed shot,
16/17,Copa del Rey,Final,H,FC Barcelona,Deportivo Alaves,RW,30,30,Left-footed shot,Neymar
17/18,Supercopa,final,H,FC Barcelona,Real Madrid,RW,77,77,Penalty,
17/18,LaLiga,2,A,FC Barcelona,Deportivo Alaves,CF,55,55,Left-footed shot,Jordi Alba
17/18,LaLiga,2,A,FC Barcelona,Deportivo Alaves,CF,66,66,Left-footed shot,Paco Alcacer
17/18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,CF,26,26,Left-footed shot,Ivan Rakitic
17/18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,CF,35,35,Right-footed shot,Jordi Alba
17/18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,CF,67,67,Left-footed shot,Jordi Alba
17/18,UEFA Champions League,Group Stage,H,FC Barcelona,Juventus FC,CF,45,45,Left-footed shot,Luis Suarez
17/18,UEFA Champions League,Group Stage,H,FC Barcelona,Juventus FC,CF,69,69,Left-footed shot,
17/18,LaLiga,5,H,FC Barcelona,SD Eibar,CF,21,21,Penalty,
17/18,LaLiga,5,H,FC Barcelona,SD Eibar,CF,59,59,Left-footed shot,Sergio Busquets
17/18,LaLiga,5,H,FC Barcelona,SD Eibar,CF,62,62,Left-footed shot,Paulinho
17/18,LaLiga,5,H,FC Barcelona,SD Eibar,CF,87,87,Left-footed shot,Aleix Vidal
17/18,LaLiga,7,H,FC Barcelona,UD Las Palmas,SS,70,70,Left-footed shot,Denis Suarez
17/18,LaLiga,7,H,FC Barcelona,UD Las Palmas,SS,77,77,Left-footed shot,Luis Suarez
17/18,UEFA Champions League,Group Stage,H,FC Barcelona,Olympiacos Piraeus,CF,61,61,Direct free kick,
17/18,LaLiga,10,A,FC Barcelona,Athletic Bilbao,SS ,37,37,Left-footed shot,Jordi Alba
17/18,LaLiga,14,H,FC Barcelona,Celta de Vigo,SS,22,22,Left-footed shot,Paulinho
17/18,LaLiga,15,A,FC Barcelona,Villarreal CF,RW ,83,83,Left-footed shot,Sergio Busquets
17/18,LaLiga,17,A,FC Barcelona,Real Madrid,SS,64,64,Penalty,
17/18,LaLiga,18,H,FC Barcelona,Levante UD,SS,12,12,Left-footed shot,Jordi Alba
17/18,Copa del Rey,last 16,H,FC Barcelona,Celta de Vigo,SS,13,13,Left-footed shot,Jordi Alba
17/18,Copa del Rey,last 16,H,FC Barcelona,Celta de Vigo,SS,15,15,Left-footed shot,Jordi Alba
17/18,LaLiga,19,A,FC Barcelona,Real Sociedad,SS ,85,85,Direct free kick,
17/18,LaLiga,20,A,FC Barcelona,Real Betis Balompie,SS ,64,64,Left-footed shot,Sergio Busquets
17/18,LaLiga,20,A,FC Barcelona,Real Betis Balompie,SS ,80,80,Left-footed shot,Luis Suarez
17/18,Copa del Rey,Quarter-Finals,H,FC Barcelona,RCD Espanyol Barcelona,SS,25,25,Deflected shot on goal,
17/18,LaLiga,21,H,FC Barcelona,Deportivo Alaves,SS,84,84,Direct free kick,
17/18,UEFA Champions League,last 16,A,FC Barcelona,Chelsea FC,SS,75,75,Left-footed shot,Andres Iniesta
17/18,LaLiga,25,H,FC Barcelona,Girona FC,SS ,30,30,Left-footed shot,Luis Suarez
17/18,LaLiga,25,H,FC Barcelona,Girona FC,SS ,36,36,Direct free kick,
17/18,LaLiga,26,A,FC Barcelona,UD Las Palmas,SS,21,21,Direct free kick,
17/18,LaLiga,27,H,FC Barcelona,Atletico de Madrid,SS,26,26,Direct free kick,
17/18,UEFA Champions League,last 16,H,FC Barcelona,Chelsea FC,SS,3,3,Right-footed shot,Luis Suarez
17/18,UEFA Champions League,last 16,H,FC Barcelona,Chelsea FC,SS,63,63,Left-footed shot,Luis Suarez
17/18,LaLiga,29,H,FC Barcelona,Athletic Bilbao,SS ,30,30,Left-footed shot,Ousmane Dembele
17/18,LaLiga,30,A,FC Barcelona,Sevilla FC,RW,89,89,Left-footed shot,Philippe Coutinho
17/18,LaLiga,31,H,FC Barcelona,CD Leganes,SS ,27,27,Direct free kick,
17/18,LaLiga,31,H,FC Barcelona,CD Leganes,SS ,32,32,Left-footed shot,Philippe Coutinho
17/18,LaLiga,31,H,FC Barcelona,CD Leganes,SS ,87,87,Left-footed shot,Ousmane Dembele
17/18,Copa del Rey,Final,A,FC Barcelona,Sevilla FC,SS,31,31,Left-footed shot,Jordi Alba
17/18,LaLiga,35,A,FC Barcelona,Deportivo de La Coruaa,CF ,38,38,Left-footed shot,Luis Suarez
17/18,LaLiga,35,A,FC Barcelona,Deportivo de La Coruaa,CF ,82,82,Right-footed shot,Luis Suarez
17/18,LaLiga,35,A,FC Barcelona,Deportivo de La Coruaa,CF ,85,85,Left-footed shot,Luis Suarez
17/18,LaLiga,36,H,FC Barcelona,Real Madrid,SS,52,52,Left-footed shot,Luis Suarez
17/18,LaLiga,34,H,FC Barcelona,Villarreal CF,CF,45,45,Left-footed shot,Andres Iniesta
18/19,LaLiga,1,H,FC Barcelona,Deportivo Alaves,RW ,64,64,Direct free kick,
18/19,LaLiga,1,H,FC Barcelona,Deportivo Alaves,RW ,90+2,90+2,Left-footed shot,Luis Suarez
18/19,LaLiga,3,H,FC Barcelona,SD Huesca,RW ,16,16,Right-footed shot,Ivan Rakitic
18/19,LaLiga,3,H,FC Barcelona,SD Huesca,RW ,61,61,Left-footed shot,Philippe Coutinho
18/19,UEFA Champions League,Group Stage,H,FC Barcelona,PSV Eindhoven,RW ,31,31,Direct free kick,
18/19,UEFA Champions League,Group Stage,H,FC Barcelona,PSV Eindhoven,RW ,77,77,Left-footed shot,Ivan Rakitic
18/19,UEFA Champions League,Group Stage,H,FC Barcelona,PSV Eindhoven,RW ,87,87,Right-footed shot,Luis Suarez
18/19,LaLiga,5,H,FC Barcelona,Girona FC,RW ,19,19,Left-footed shot,Arturo Vidal
18/19,UEFA Champions League,Group Stage,A,FC Barcelona,Tottenham Hotspur,RW ,56,56,Left-footed shot,Jordi Alba
18/19,UEFA Champions League,Group Stage,A,FC Barcelona,Tottenham Hotspur,RW ,90,90,Left-footed shot,Jordi Alba
18/19,LaLiga,8,A,FC Barcelona,Valencia CF,RW ,23,23,Left-footed shot,Luis Suarez
18/19,LaLiga,9,H,FC Barcelona,Sevilla FC,RW ,12,12,Left-footed shot,Luis Suarez
18/19,LaLiga,12,H,FC Barcelona,Real Betis Balompie,SS ,68,68,Penalty,
18/19,LaLiga,12,H,FC Barcelona,Real Betis Balompie,SS ,90+4,90+4,Left-footed shot,Arturo Vidal
18/19,UEFA Champions League,Group Stage,A,FC Barcelona,PSV Eindhoven,CF ,61,61,Left-footed shot,Ousmane Dembele
18/19,LaLiga,15,A,FC Barcelona,RCD Espanyol Barcelona,RW ,17,17,Direct free kick,
18/19,LaLiga,15,A,FC Barcelona,RCD Espanyol Barcelona,RW ,65,65,Direct free kick,
18/19,LaLiga,16,A,FC Barcelona,Levante UD,SS ,43,43,Right-footed shot,Sergio Busquets
18/19,LaLiga,16,A,FC Barcelona,Levante UD,SS ,47,47,Left-footed shot,
18/19,LaLiga,16,A,FC Barcelona,Levante UD,SS ,60,60,Left-footed shot,Arturo Vidal
18/19,LaLiga,17,H,FC Barcelona,Celta de Vigo,RW ,45,45,Left-footed shot,Jordi Alba
18/19,LaLiga,18,A,FC Barcelona,Getafe CF,RW ,20,20,Left-footed shot,
18/19,LaLiga,19,H,FC Barcelona,SD Eibar,RW ,53,53,Left-footed shot,Luis Suarez
18/19,Copa del Rey,last 16,H,FC Barcelona,Levante UD,CF ,54,54,Left-footed shot,Nelson Semedo
18/19,LaLiga,20,H,FC Barcelona,CD Leganes,SS,90+2,90+2,Right-footed shot,Jordi Alba
18/19,LaLiga,21,A,FC Barcelona,Girona FC,RW ,69,69,Left-footed shot,Jordi Alba
18/19,Copa del Rey,Quarter-Finals,H,FC Barcelona,Sevilla FC,RW ,90+2,90+2,Left-footed shot,Jordi Alba
18/19,LaLiga,22,H,FC Barcelona,Valencia CF,RW ,39,39,Penalty,
18/19,LaLiga,22,H,FC Barcelona,Valencia CF,RW ,64,64,Left-footed shot,Arturo Vidal
18/19,LaLiga,24,H,FC Barcelona,Real Valladolid CF,RW ,43,43,Penalty,
18/19,LaLiga,25,A,FC Barcelona,Sevilla FC,RW ,26,26,Left-footed shot,Ivan Rakitic
18/19,LaLiga,25,A,FC Barcelona,Sevilla FC,RW ,67,67,Right-footed shot,Ousmane Dembele
18/19,LaLiga,25,A,FC Barcelona,Sevilla FC,RW ,85,85,Left-footed shot,
18/19,LaLiga,27,H,FC Barcelona,Rayo Vallecano,RW ,51,51,Penalty,
18/19,UEFA Champions League,last 16,H,FC Barcelona,Olympique Lyon,RW ,18,18,Penalty,
18/19,UEFA Champions League,last 16,H,FC Barcelona,Olympique Lyon,RW ,78,78,Right-footed shot,Sergio Busquets
18/19,LaLiga,28,A,FC Barcelona,Real Betis Balompie,SS ,18,18,Direct free kick,
18/19,LaLiga,28,A,FC Barcelona,Real Betis Balompie,SS ,45+2,45+2,Left-footed shot,Luis Suarez
18/19,LaLiga,28,A,FC Barcelona,Real Betis Balompie,SS ,85,85,Left-footed shot,Ivan Rakitic
18/19,LaLiga,29,H,FC Barcelona,RCD Espanyol Barcelona,RW ,71,71,Direct free kick,
18/19,LaLiga,29,H,FC Barcelona,RCD Espanyol Barcelona,RW ,89,89,Left-footed shot,Malcom
18/19,LaLiga,30,A,FC Barcelona,Villarreal CF,RW,90,90,Direct free kick,
18/19,LaLiga,31,H,FC Barcelona,Atletico de Madrid,SS ,87,87,Left-footed shot,
18/19,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Manchester United,RW ,16,16,Left-footed shot,
18/19,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Manchester United,RW ,20,20,Right-footed shot,
18/19,LaLiga,35,H,FC Barcelona,Levante UD,RW,62,62,Left-footed shot,Arturo Vidal
18/19,UEFA Champions League,Semi-Finals,H,FC Barcelona,Liverpool FC,RW ,75,75,Left-footed shot,Luis Suarez
18/19,UEFA Champions League,Semi-Finals,H,FC Barcelona,Liverpool FC,RW ,82,82,Direct free kick,
18/19,LaLiga,38,A,FC Barcelona,SD Eibar,CF ,31,31,Left-footed shot,Arturo Vidal
18/19,LaLiga,38,A,FC Barcelona,SD Eibar,CF ,32,32,Left-footed shot,Ivan Rakitic
18/19,Copa del Rey,Final,H,FC Barcelona,Valencia CF,CF ,73,73,Left-footed shot,Clement Lenglet
19/20,LaLiga,8,H,FC Barcelona,Sevilla FC,RW ,78,78,Direct free kick,
19/20,LaLiga,9,A,FC Barcelona,SD Eibar,RW ,58,58,Left-footed shot,Antoine Griezmann
19/20,UEFA Champions League,Group Stage,A,FC Barcelona,SK Slavia Prague,RW ,3,3,Left-footed shot,Arthur
19/20,LaLiga,11,H,FC Barcelona,Real Valladolid CF,RW ,34,34,Direct free kick,
19/20,LaLiga,11,H,FC Barcelona,Real Valladolid CF,RW ,75,75,Left-footed shot,Ivan Rakitic
19/20,LaLiga,12,A,FC Barcelona,Levante UD,RW ,38,38,Penalty,
19/20,LaLiga,13,H,FC Barcelona,Celta de Vigo,RW ,23,23,Penalty,
19/20,LaLiga,13,H,FC Barcelona,Celta de Vigo,RW ,45+1,45+1,Direct free kick,
19/20,LaLiga,13,H,FC Barcelona,Celta de Vigo,RW ,48,48,Direct free kick,
19/20,UEFA Champions League,Group Stage,H,FC Barcelona,Borussia Dortmund,RW ,33,33,Left-footed shot,Luis Suarez
19/20,LaLiga,15,A,FC Barcelona,Atletico de Madrid,RW ,86,86,Left-footed shot,Luis Suarez
19/20,LaLiga,16,H,FC Barcelona,RCD Mallorca,RW ,17,17,Left-footed shot,Antoine Griezmann
19/20,LaLiga,16,H,FC Barcelona,RCD Mallorca,RW ,41,41,Left-footed shot,Ivan Rakitic
19/20,LaLiga,16,H,FC Barcelona,RCD Mallorca,RW ,83,83,Left-footed shot,Luis Suarez
19/20,LaLiga,18,H,FC Barcelona,Deportivo Alaves,RW ,69,69,Left-footed shot,Luis Suarez
19/20,Supercopa,Semi-Finals,H,FC Barcelona,Atletico de Madrid,RW ,51,51,Right-footed shot,Luis Suarez
19/20,LaLiga,20,H,FC Barcelona,Granada CF,CF ,76,76,Right-footed shot,Arturo Vidal
19/20,Copa del Rey,Round of 16,H,FC Barcelona,CD Leganes,RW ,59,59,Left-footed shot,Frenkie de Jong
19/20,Copa del Rey,Round of 16,H,FC Barcelona,CD Leganes,RW ,89,89,Left-footed shot,Ivan Rakitic
19/20,LaLiga,25,H,FC Barcelona,SD Eibar,SS ,14,14,Left-footed shot,Ivan Rakitic
19/20,LaLiga,25,H,FC Barcelona,SD Eibar,SS ,37,37,Left-footed shot,Arturo Vidal
19/20,LaLiga,25,H,FC Barcelona,SD Eibar,SS ,40,40,Left-footed shot,
19/20,LaLiga,25,H,FC Barcelona,SD Eibar,SS ,87,87,Left-footed shot,
19/20,LaLiga,27,H,FC Barcelona,Real Sociedad,CF ,81,81,Penalty,
19/20,LaLiga,28,A,FC Barcelona,RCD Mallorca,RW ,90+3,90+3,Right-footed shot,Luis Suarez
19/20,LaLiga,29,H,FC Barcelona,CD Leganes,RW ,69,69,Penalty,
19/20,LaLiga,33,H,FC Barcelona,Atletico de Madrid,SS ,50,50,Penalty,
19/20,LaLiga,37,H,FC Barcelona,CA Osasuna,RW ,62,62,Direct free kick,
19/20,LaLiga,38,A,FC Barcelona,Deportivo Alaves,RW ,34,34,Left-footed shot,Riqui Puig
19/20,LaLiga,38,A,FC Barcelona,Deportivo Alaves,RW ,75,75,Left-footed shot,Jordi Alba
19/20,UEFA Champions League,last 16,H,FC Barcelona,SSC Napoli,SS ,23,23,Left-footed shot,
20/21,LaLiga,3,H,FC Barcelona,Villarreal CF,CF ,35,35,Penalty,
20/21,UEFA Champions League,Group Stage,H,FC Barcelona,Ferencvarosi TC,CF ,27,27,Penalty,
20/21,UEFA Champions League,Group Stage,A,FC Barcelona,Juventus FC,CF ,90+1,90+1,Penalty,
20/21,UEFA Champions League,Group Stage,H,FC Barcelona,Dynamo Kyiv,RW ,5,5,Penalty,
20/21,LaLiga,9,H,FC Barcelona,Real Betis Balompie,CF,61,61,Penalty,
20/21,LaLiga,9,H,FC Barcelona,Real Betis Balompie,CF,82,82,Left-footed shot,Sergi Roberto
20/21,LaLiga,11,H,FC Barcelona,CA Osasuna,RW ,73,73,Left-footed shot,Francisco TrincÃ£o
20/21,LaLiga,13,H,FC Barcelona,Levante UD,CF ,76,76,Left-footed shot,Frenkie de Jong
20/21,LaLiga,14,H,FC Barcelona,Valencia CF,CF ,45+4,45+4,Header,
20/21,LaLiga,15,A,FC Barcelona,Real Valladolid CF,AM ,65,65,Left-footed shot,Pedri
20/21,LaLiga,2,A,FC Barcelona,Athletic Bilbao,CF ,38,38,Left-footed shot,Pedri
20/21,LaLiga,2,A,FC Barcelona,Athletic Bilbao,CF ,62,62,Left-footed shot,Antoine Griezmann
20/21,LaLiga,18,A,FC Barcelona,Granada CF,CF ,35,35,Left-footed shot,Antoine Griezmann
20/21,LaLiga,18,A,FC Barcelona,Granada CF,CF ,42,42,Direct free kick,
20/21,Copa del Rey,Round of 16,A,FC Barcelona,Rayo Vallecano,CF ,69,69,Left-footed shot,Antoine Griezmann
20/21,LaLiga,21,H,FC Barcelona,Athletic Bilbao,CF ,20,20,Direct free kick,
20/21,LaLiga,22,A,FC Barcelona,Real Betis Balompie,CF,59,59,Left-footed shot,Ousmane Dembele
20/21,LaLiga,23,H,FC Barcelona,Deportivo Alaves,CF ,45+1,45+1,Left-footed shot,Sergio Busquets
20/21,LaLiga,23,H,FC Barcelona,Deportivo Alaves,CF ,75,75,Left-footed shot,Antoine Griezmann
20/21,UEFA Champions League,last 16,H,FC Barcelona,Paris Saint-Germain,CF ,27,27,Penalty,
20/21,LaLiga,24,H,FC Barcelona,Cadiz CF,CF ,32,32,Penalty,
20/21,LaLiga,1,H,FC Barcelona,Elche CF,CF ,48,48,Left-footed shot,Martin Braithwaite
20/21,LaLiga,1,H,FC Barcelona,Elche CF,CF ,68,68,Left-footed shot,Frenkie de Jong
20/21,LaLiga,25,A,FC Barcelona,Sevilla FC,CF ,85,85,Right-footed shot,Ilaix Moriba
20/21,UEFA Champions League,last 16,A,FC Barcelona,Paris Saint-Germain,SS ,37,37,Long distance kick,Pedri
20/21,LaLiga,27,H,FC Barcelona,SD Huesca,SS ,13,13,Left-footed shot,Sergio Busquets
20/21,LaLiga,27,H,FC Barcelona,SD Huesca,SS ,90,90,Left-footed shot,Francisco TrincÃ£o
20/21,LaLiga,28,A,FC Barcelona,Real Sociedad,SS ,56,56,Left-footed shot,Sergio Busquets
20/21,LaLiga,28,A,FC Barcelona,Real Sociedad,SS ,89,89,Left-footed shot,Jordi Alba
20/21,Copa del Rey,Final,A,FC Barcelona,Athletic Bilbao,CF ,68,68,Left-footed shot,Frenkie de Jong
20/21,Copa del Rey,Final,A,FC Barcelona,Athletic Bilbao,CF ,72,72,Left-footed shot,Jordi Alba
20/21,LaLiga,31,H,FC Barcelona,Getafe CF,CF ,8,8,Left-footed shot,Sergio Busquets
20/21,LaLiga,31,H,FC Barcelona,Getafe CF,CF ,33,33,Left-footed shot,
20/21,LaLiga,33,H,FC Barcelona,Granada CF,CF ,23,23,Left-footed shot,Antoine Griezmann
20/21,LaLiga,34,A,FC Barcelona,Valencia CF,CF ,57,57,Left-footed shot,
20/21,LaLiga,34,A,FC Barcelona,Valencia CF,CF ,69,69,Direct free kick,
20/21,LaLiga,36,A,FC Barcelona,Levante UD,SS ,25,25,Left-footed shot,
20/21,LaLiga,37,H,FC Barcelona,Celta de Vigo,SS ,28,28,Header,Sergio Busquets
21/22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Manchester City,RW,74,74,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,RB Leipzig,RW,67,67,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,RB Leipzig,RW,74,74,Penalty,
21/22,Ligue 1,14,H,Paris Saint-Germain,FC Nantes,RW,87,87,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Club Brugge KV,CF,38,38,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Club Brugge KV,CF,76,76,Penalty,
21/22,Ligue 1,23,A,Paris Saint-Germain,LOSC Lille,CF,38,38,Left-footed shot,
21/22,Ligue 1,30,H,Paris Saint-Germain,FC Lorient,RW,73,73,Left-footed shot,Kylian Mbappe
21/22,Ligue 1,34,H,Paris Saint-Germain,RC Lens,RW,68,68,Left-footed shot,Neymar
21/22,Ligue 1,37,A,Paris Saint-Germain,Montpellier,CF,6,6,Left-footed shot,Kylian Mbappé
21/22,Ligue 1,37,A,Paris Saint-Germain,Montpellier,CF,20,20,Left-footed shot,Kylian Mbappé
21/22,Trophée des Champions,Final,H,Paris Saint-Germain,FC Nantes,CF,22,22,Right-footed shot,
21/22,Ligue 1,1,A,Paris Saint-Germain,Clermont Foot,CF,80,80,Left-footed shot,Neymar
21/22,Ligue 1,1,A,Paris Saint-Germain,Clermont Foot,CF,86,86,Left-footed shot,Leandro Paredes
22/23,Troph�e des Champions,Final,H,Paris Saint-Germain,FC Nantes,CF,22,22,Right-footed shot,
22/23,Ligue 1,1,A,Paris Saint-Germain,Clermont Foot,CF,80,80,Left-footed shot,Neymar
22/23,Ligue 1,1,A,Paris Saint-Germain,Clermont Foot,CF,86,86,Left-footed shot,Leandro Paredes
22/23,Ligue 1,3,A,Paris Saint-Germain,LOSC Lille,AM,27,27,Right-footed shot,Nuno Mendes
22/23,Champions League,Group Stage,A,Paris Saint-Germain,Maccabi Haifa,SS,37,37,Left-footed shot,
22/23,Ligue 1,8,A,Paris Saint-Germain,Olympique Lyon,AM,5,5,Left-footed shot,Neymar
22/23,Ligue 1,9,H,Paris Saint-Germain,OGC Nice,AM,28,28,Direct free kick,
22/23,UEFA Champions League,Group Stage,A,Paris Saint-Germain,SL Benfica,AM,22,22,Left-footed shot,Neymar
22/23,Ligue 1,12,A,Paris Saint-Germain,AC Ajaccio,CF,78,78,Left-footed shot,Kylian Mbappe
22/23,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Maccabi Haifa,SS,19,19,Left-footed shot,Kylian Mbappe
22/23,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Maccabi Haifa,SS,44,44,Left-footed shot,Kylian Mbappe
22/23,Ligue 1,13,H,Paris Saint-Germain,ESTAC Troyes,RW,55,55,Left-footed shot,Sergio Ramos
22/23,Ligue 1,18,H,Paris Saint-Germain,Angers SCO,AM,72,72,Right-footed shot,Nordi Mukiele
22/23,Ligue 1,21,A,Paris Saint-Germain,Montpellier HSC,SS,72,72,Left-footed shot,Fabián Ruiz
22/23,Ligue 1,22,H,Paris Saint-Germain,FC Toulouse,SS,58,58,Left-footed shot,Achraf Hakimi
22/23,Ligue 1,24,H,Paris Saint-Germain,LOSC Lille,CF,90+5,90+5,Direct free kick,"	"
22/23,Ligue 1,25,A,Paris Saint-Germain,Olympique Marseille,CF,29,29,Right-footed shot,Kylian Mbappé
22/23,Ligue 1,26,H,Paris Saint-Germain,FC Nantes,CF,12,12,Left-footed shot,
